timestamp,raw,type,category,label,spell,imu
2026-03-14T13:05:16.667430,1008,status,imu,IMU motion burst start,,
2026-03-14T13:05:16.717377,1009,status,imu,IMU motion sample,,
2026-03-14T13:05:17.085258,1008,status,imu,IMU motion burst start,,
2026-03-14T13:05:17.115034,1000,status,state,Idle / Ready,,
2026-03-14T13:05:17.760318,1002,status,state,Action Ack / End,,
2026-03-14T13:05:17.864912,1003,status,state,Event 3,,
2026-03-14T13:05:17.879774,100b,status,gesture,Gesture window open,,
2026-03-14T13:05:19.875322,100a,status,imu,IMU axis A,,
2026-03-14T13:05:19.942719,1002,status,state,Action Ack / End,,
2026-03-14T13:05:19.949929,1000,status,state,Idle / Ready,,
