Timestamp,Characteristic UUID,Raw Bytes,Event Type
2025-10-15T18:09:02.684969,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:02.775008,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,Device event
2025-10-15T18:09:04.020144,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:04.155071,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:04.207581,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:06.097565,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:06.142536,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,Device event
2025-10-15T18:09:06.209983,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:06.262501,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,Device event
2025-10-15T18:09:08.047576,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:08.069849,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,Device event
2025-10-15T18:09:08.077570,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:08.250043,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:08.512695,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:08.542627,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,Device event
2025-10-15T18:09:08.557538,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:08.617571,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,Device event
2025-10-15T18:09:09.112547,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:09.142457,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:09.254949,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1003,Device event
2025-10-15T18:09:09.307518,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:09.404994,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:10.072616,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1001,Device event
2025-10-15T18:09:10.162619,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:11.189997,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1001,Device event
2025-10-15T18:09:12.022557,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:12.382576,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1001,Device event
2025-10-15T18:09:14.032531,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1003,Device event
2025-10-15T18:09:14.092508,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:14.234967,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:16.019972,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:16.199978,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:16.402553,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:16.439879,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:17.782523,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:17.924948,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:18.224946,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:18.314909,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100e,Device event
2025-10-15T18:09:18.389957,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,Device event
2025-10-15T18:09:19.222696,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,Device event
2025-10-15T18:09:19.229835,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:19.274906,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:20.024946,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:20.114959,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1003,Device event
2025-10-15T18:09:20.122600,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:20.137532,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,Device event
2025-10-15T18:09:20.775141,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:20.805199,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,Device event
2025-10-15T18:09:20.812769,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:21.270047,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1003,Device event
2025-10-15T18:09:21.322486,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:21.367762,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,Device event
2025-10-15T18:09:23.197510,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100e,Device event
2025-10-15T18:09:23.204690,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:23.242505,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:24.644960,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:24.667347,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,Device event
2025-10-15T18:09:24.674679,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:24.682617,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,Device event
2025-10-15T18:09:25.792529,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100e,Device event
2025-10-15T18:09:25.799973,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:25.830105,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:26.474888,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:26.504988,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,Device event
2025-10-15T18:09:26.527582,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100e,Device event
2025-10-15T18:09:26.534786,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,Device event
2025-10-15T18:09:27.494928,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100e,Device event
2025-10-15T18:09:27.502248,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,Device event
2025-10-15T18:09:27.509879,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:27.517336,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:28.004942,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1008,Device event
2025-10-15T18:09:28.027687,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1009,Device event
2025-10-15T18:09:28.545069,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1001,Device event
2025-10-15T18:09:28.597498,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1009,Device event
2025-10-15T18:09:28.604685,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:28.634895,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,Device event
2025-10-15T18:09:29.549951,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:29.564704,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1009,Device event
2025-10-15T18:09:29.594835,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1001,Device event
2025-10-15T18:09:29.609715,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
2025-10-15T18:09:29.774927,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,Device event
2025-10-15T18:09:29.812590,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:29.880052,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,Device event
2025-10-15T18:09:30.097454,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:30.112279,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1009,Device event
2025-10-15T18:09:30.202456,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1008,Device event
2025-10-15T18:09:30.299864,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100c,Device event
2025-10-15T18:09:30.352493,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100d,Device event
2025-10-15T18:09:30.577589,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,Device event
2025-10-15T18:09:31.132575,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,Device event
2025-10-15T18:09:31.169909,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1003,Device event
2025-10-15T18:09:31.192314,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1001,Device event
2025-10-15T18:09:31.207280,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,Device event
