timestamp,raw,type,category,label,spell,imu
2026-03-14T09:07:14.716635,1001,status,state,Button / Motion trigger,,
2026-03-14T09:07:14.716729,1009,status,imu,IMU motion sample,,
2026-03-14T09:07:14.716805,100b,status,gesture,Gesture window open,,
2026-03-14T09:07:18.691733,1009,status,imu,IMU motion sample,,
2026-03-14T09:07:18.691855,1001,status,state,Button / Motion trigger,,
2026-03-14T09:07:18.691950,1000,status,state,Idle / Ready,,
2026-03-14T09:07:20.084856,1001,status,state,Button / Motion trigger,,
2026-03-14T09:07:20.114775,1009,status,imu,IMU motion sample,,
2026-03-14T09:07:20.174860,100b,status,gesture,Gesture window open,,
2026-03-14T09:07:20.722488,1009,status,imu,IMU motion sample,,
2026-03-14T09:07:20.774632,1001,status,state,Button / Motion trigger,,
2026-03-14T09:07:20.879624,1000,status,state,Idle / Ready,,
2026-03-14T09:07:21.172449,1001,status,state,Button / Motion trigger,,
2026-03-14T09:07:21.629755,1009,status,imu,IMU motion sample,,
2026-03-14T09:07:21.779950,1008,status,imu,IMU motion burst start,,
2026-03-14T09:07:21.809783,1000,status,state,Idle / Ready,,
2026-03-14T09:07:22.147445,1001,status,state,Button / Motion trigger,,
2026-03-14T09:07:22.244799,1000,status,state,Idle / Ready,,
